time,seconds_elapsed,z,y,x
1619656189552969500,-53.50703051757812,-0.406629082301259,-0.2627941734708846,0.7145210923228412
1619656189563042300,-53.49695776367187,-0.43199850135743617,-0.28474757353849706,0.7669425497598945
1619656189573116400,-53.486883544921874,-0.310264219045639,-0.0895303045278415,0.7380934718944132
1619656189583189500,-53.476810546875,-0.26999533702135087,0.11280213025026023,0.8009753869388252
1619656189593263400,-53.466736572265624,0.007359130591154098,0.8844422632418573,0.7987009392008185
1619656189603336400,-53.45666357421875,-0.6621861441254615,1.5763834941618144,0.4760833249406889
1619656189613410600,-53.44658935546875,0.055338440862298006,1.808810440289229,0.12088429615264758
1619656189623483400,-53.4365166015625,0.9028998570829629,1.797521569033712,-0.458029087736085
1619656189633557500,-53.4264423828125,1.244067163914442,1.6515023019015789,-0.6745514124408364
1619656189643630600,-53.41636938476562,1.6438912423759697,1.6888573423057793,-0.6365041519887745
1619656189653704400,-53.406295654296876,1.5649141517728566,2.221232426778227,-0.4841825698420405
1619656189663777500,-53.396222412109374,0.933092166250944,2.7061352737188336,-0.2053620482649654
1619656189673851400,-53.38614868164063,0.7226525955259799,2.903693151038885,-0.008925722320750356
1619656189683924500,-53.376075439453125,1.1629495541512966,3.1101316694289443,-0.13320420922264456
1619656189693998600,-53.36600146484375,1.1436468877881765,3.266483968396485,0.05346621724963188
1619656189704071400,-53.355928466796875,0.742867116037011,3.784384391184151,0.3439848484702408
1619656189714145500,-53.3458544921875,0.2492179219305515,4.247588762666285,0.25619594424962994
1619656189724218400,-53.33578173828125,-0.6335533393591642,4.410945971959829,0.3335642844818532
1619656189734292500,-53.32570751953125,-1.05812958176136,4.610249816164374,0.45103740221783517
1619656189744365600,-53.31563452148438,-0.9108423405200242,4.754798572352528,0.46602045181617135
1619656189754439700,-53.30556030273438,-0.511337995532155,4.644844744205475,0.47688189143985504
1619656189764512500,-53.29548754882813,0.4071709340929985,4.872722940987348,0.42253056191876526
1619656189774586400,-53.28541357421875,1.508756211221218,4.798657587823271,0.013416969325393437
1619656189784659500,-53.27534057617188,2.7906080391287804,4.627885426098108,-0.2314481642231345
1619656189794733600,-53.26526635742187,3.498700778904557,4.714075224559009,-0.012275690335780381
1619656189804806400,-53.25519360351562,3.942092196413874,4.845905076688528,0.44438948863595723
1619656189814880300,-53.24511962890625,4.397279265657067,4.9825399910122155,1.1099795959860086
1619656189824953600,-53.23504638671875,4.999144504332542,4.670069786354899,1.475859611530602
1619656189835027500,-53.22497265625,5.176737451988458,4.094143291056156,1.4318401448011397
1619656189845100300,-53.21489965820312,4.628087670671939,4.662558680072427,1.2836901492506265
1619656189855174700,-53.204825439453124,4.133367047941684,5.349287144780159,1.5631576634943485
1619656189865247500,-53.19475244140625,3.5638393137693405,5.8434314289271825,1.8505179768145084
1619656189875321300,-53.1846787109375,2.5781179656147954,6.454870551633834,2.5668647501945494
1619656189885394700,-53.17460522460937,0.36656478293836114,6.4933250777125355,3.2668402344882486
1619656189895468500,-53.164531494140626,-2.406575404039025,7.656739911288023,3.356390157032013
1619656189905541400,-53.154458740234375,-4.642658632338047,8.952530248177052,3.5676942356318233
1619656189915615500,-53.144384521484376,-6.1126920219331975,9.049539839076996,3.6991993858516214
1619656189925688600,-53.1343115234375,-5.498071346580982,8.614609960442781,4.165013063049316
1619656189935762400,-53.12423754882813,-4.971928580626845,7.774969984871149,4.50798128182292
1619656189945835500,-53.11416455078125,-4.2049364926368,7.699339866608381,5.04385166106522
1619656189955909400,-53.10409057617188,-3.347221346670389,7.031105089968443,5.727094621744752
1619656189965983000,-53.09401708984375,-2.9254700985610484,5.845265658617019,5.977111000576615
1619656189976056800,-53.083943115234376,-2.588919930136204,5.208511477389932,6.507157203710078
1619656189986129700,-53.073870361328126,-3.848095231333375,4.471529912260174,6.945172188878059
1619656189996203800,-53.06379614257813,-5.515375532603263,4.587884547360241,7.632511478960514
1619656190006276900,-53.05372314453125,-5.257576244810223,4.199274229091405,8.235349946582318
1619656190016350700,-53.04364916992188,-3.559477026906609,3.233983382286131,8.513945354166626
1619656190026423800,-53.033576171875,-2.744389893311262,2.328174652019143,8.720630540794133
1619656190036498000,-53.02350219726563,-2.6606933729708193,1.4731789941444993,8.15639799042046
1619656190046570800,-53.01342919921875,-2.856166845232248,1.171322537960112,7.980015587598085
1619656190056644900,-53.00335522460937,-4.303583329349756,0.5043605577349662,6.824518687540293
1619656190066718000,-52.99328198242188,-5.9692532728135586,1.2970540732145308,6.056603054964542
1619656190076791800,-52.98320825195312,-5.989856500381231,1.233632571400702,5.556847945198417
1619656190086865000,-52.97313500976563,-4.473170665204525,-0.2699287015259266,4.139351967570185
1619656190096938800,-52.96306127929687,-3.2610774331778285,-0.4195400018006563,3.292541077455878
1619656190107011800,-52.95298828125,-4.261798782065511,-0.3583575110852718,4.037041347652673
1619656190117086000,-52.9429140625,-5.685450944235921,-1.5489461827903985,6.073721947547793
1619656190127158800,-52.93284130859375,-5.952673893934488,-3.363650211162865,7.300535194322467
1619656190137233000,-52.92276708984375,-5.347138442313671,-4.567879870207608,7.63093210081458
1619656190147306000,-52.91269409179687,-5.486233609271049,-5.332327242150902,6.298904329374432
1619656190157379800,-52.9026201171875,-5.992472820359468,-4.728445402956009,4.195819704723358
1619656190167453000,-52.89254711914062,-7.4210279521405695,-3.5750609650075433,3.325712694695592
1619656190177527000,-52.882472900390624,-9.184496591055392,-3.8049078315138813,4.40251482822299
1619656190187600000,-52.872400146484374,-10.414896464145183,-5.810273255690932,6.958431483423709
1619656190197673700,-52.862326171875,-10.813138241851329,-7.959361506626009,8.889764287662505
1619656190207746800,-52.852253173828124,-11.05495260952711,-9.306281142249702,9.977807361650466
1619656190217821000,-52.842178955078126,-12.035476389038562,-9.504403667715192,10.200641134524345
1619656190227893800,-52.832106201171875,-11.867990993899106,-8.55360750246942,9.450971937257052
1619656190237968000,-52.8220322265625,-10.805838732492923,-7.426899474522471,8.091250687727332
1619656190248041000,-52.811958984375,-9.197384129679202,-6.294354410985112,7.289009591701626
1619656190258114800,-52.80188525390625,-7.475534618353843,-6.099205348372459,8.194521677109599
1619656190268187600,-52.79181225585938,-5.561482619261741,-7.73384477827847,10.46322356494069
1619656190278262000,-52.78173803710938,-3.3420611874282358,-10.00993268470764,12.92288700056672
1619656190288334800,-52.7716650390625,-0.9596680384874343,-12.047439214032888,14.810971030187606
1619656190298408700,-52.76159130859375,0.395690924179554,-13.917073394727707,16.612580891448257
1619656190308482000,-52.75151806640625,0.1227986966729164,-15.336947207403183,18.013594520831106
1619656190318556000,-52.74144409179687,-1.1259411352276802,-15.191391904520987,18.677274702906608
1619656190328628700,-52.73137133789062,-1.2297405323982238,-14.09795252444744,18.61305211384296
